,Cities,Cloudiness,Humidity,Latitude,Longitude,Temp,Wind Speed
0,rikitea,64,96,-20.98,-126.91,81.68,15.14
1,hobart,0,41,-76.16,146.27,77.0,14.99
2,kaduqli,0,19,11.20,28.83,95.72,9.78
3,cairns,75,69,-14.40,146.92,82.4,12.75
4,tezu,92,100,29.77,96.32,52.61,1.61
5,avarua,40,83,-41.72,-164.96,75.2,4.7
6,butaritari,24,99,20.88,158.80,83.48,5.64
7,neuquen,75,67,-40.46,-69.15,62.6,3.36
8,ushuaia,75,74,-54.67,-61.58,37.4,4.7
9,kapaa,75,94,22.72,-159.09,72.43,3.36
10,severo-kurilsk,64,100,45.66,156.15,20.84,25.32
11,bilibino,20,41,68.43,167.46,-27.49,2.39
12,teya,5,78,62.06,91.91,73.4,12.75
13,ouesso,24,77,1.28,15.63,81.77,3.4
14,port alfred,48,87,-79.82,41.41,69.17,14.36
15,santa maria,8,92,-26.76,-56.83,61.52,3.4
16,salinopolis,92,100,2.69,-47.46,79.97,10.67
17,vardo,1,55,85.87,35.60,30.24,3.36
18,punta arenas,75,65,-85.33,-92.29,44.6,16.11
19,mataura,8,79,-83.85,-158.12,45.77,4.74
20,aswan,0,17,22.06,30.61,84.2,8.05
21,kahului,20,94,28.46,-150.50,69.46,4.7
22,nome,90,94,63.45,-164.54,68.41,3.36
23,vila franca do campo,75,100,43.84,-21.37,60.8,19.46
24,tasiilaq,92,63,63.12,-40.12,30.2,23.04
25,khatanga,24,40,87.57,102.91,-25.96,5.97
26,ribeira grande,56,95,27.01,-32.98,63.05,22.86
27,sao filipe,0,98,4.78,-24.85,69.44,17.05
28,cidreira,56,97,-60.15,-19.16,65.57,7.99
29,bassar,0,65,8.96,0.77,80.6,12.75
30,halifax,90,85,38.17,-60.07,21.2,16.11
31,bethel,90,92,51.73,-168.87,26.6,6.93
32,lazaro cardenas,92,31,0.52,-111.47,60.26,13.35
33,harper,1,57,-0.22,-11.67,54.88,3.36
34,atuona,92,98,-6.99,-138.42,82.31,16.04
35,coquimbo,0,87,-27.72,-86.70,50.0,5.82
36,leningradskiy,8,43,86.85,175.73,-27.22,1.16
37,arraial do cabo,75,83,-44.22,-19.66,78.8,4.7
